"Portugues";"Kikongo"
"especial";"kya mfunu"
"especialmente";"fu kya mfunu"
"espécie";"mpila ya"
"especificação";"fu kya songa"
"especificar";"songa"
"espectador";"moni"
"espectro";"vwiti "
"espedaçar";"zengonona"
"espelho";"lumweno, mpelo"
"esperança";"vuvu"
"esperar";"vingila"
"esperma";"malumi"
"esperteza";"ngangu"
"espetáculo";"masivi"
"espingarda";"nkele"
"espinha";"nsende"
"espinho";"nsende "
"espionar";"wunikina"
"espírito";"ngindu"
"espirito santo";"mwanda velela"
"espiritual";"kya nsambu"
"espirrar";"tumbuka, ta sya"
"espirro";"sya"
"esplanada";"fulu kya nkinzi"
"esponja";"kima kya kamununa maza"
"espontaneamente";"fu kya luzolo"
"espontâneo";"mpila ya luzolo"
"esposa";"nkento"
"esposo";"yakala"
"espreguiçar";"kudikata"
"espreitar";"kengidila"
"espremedor";"nkami"
"espremer";"kamununa"
"espremer-se";"kudi kamununa"
"espremido";"kya kamununwa"
"espuma";"fulufulu"
"espumar";"vanga fuluflu"
"esquadra";"nzo a mabanbangolo"
"esquecer";"vilakana"
"esquecer-se";"kudi vilakana"
"esquecido";"vila kanwa"
"esquecimento";"vilakana"
"esqueiro";"nkola"
"esqueleto";"valanganza"
"esquema";"mpila"
"esquentar";"yandula"
"esquerda";"lumoso"
"esquerdo";"lumoso"
"esquina";"koko"
"esquinar";"tula ku koko"
"esquisito";"kya nswaswani"
"esquivar-se";"kudi vongomona"
"essa ";"e ki, e kyaki"
"esse ";"e ki, e kyaki"
"essência";"tuku"
"essencial";"kya mfumu"
"essencialmente";"kya mfumu"
"esses";"e yayi"
"esta (pron)";"e kyo, e kyaki"
"estabelecer";"kubika"
"estabelecido";"kya kubikwa"
"estabelecimento";"fu kya kubika"
"estação";"vundu"
"estacionamento";"ningama"
"estacionar";"ningika"
"estadia";"nanga, ntangwa"
"estádio";"yanzala kya somba"
"estado (estar)";"kadilu, mpila"
"estagnar";"ningama"
"estalador";"ntolodi"
"estalar";"tolola"
"estampar";"vanga masono"
"estancar";"kakidila"
"estanho";"kya nswaswani"
"estar";"kala"
"estátua";"teke"
"estatura";"ntela, leva"
"estatuto";"nkanda"
"estável";"kya mbote"
"este (pron)";"e kyo"
"esteira";"kyandu, lwandu"
"estendal";"nsinga yanikina nlele"
"estender";"yalumu"
"esterelidade";"konda wuta"
"estéril";"konda wuta"
"estes";"ebaba, eba"
"esticado";"kya nanikwa"
"esticador";"ma kya nanikina"
"esticão";"nanika ngolo"
"esticar";"nanika"
"estilo";"mpila ya"
"estimação";"zolo kima, tonda"
"estimado";"zitisa"
"estimar";"kala ye nzola"
"estimavel";"zola"
"estimulante";"kilenda vana nzunzu"
"estimular";"vana zunzu"
"estímulo";"nzunzu"
"estipular";"vana nsilu"
"estofo";"kunda"
"estoirar";"buka"
"estômago";"lukutu"
"estrada";"lula, nzila"
"estrado";"dibaya"
"estragado";"kya fwasuka"
"estragador";"mfwasi"
"estragar";"fwasa"
"estragar-se";"kudi fwasa"
"estrago";"fu kya fwasa"
"estrangeiro";"nzenza"
"estrangular";"fwatakana"
"estranhar";"sivika"
"estranho";"sivi"
"estraordinário";"kya masivi"
"estrear";"songa nkumbu a ntente"
"estreitar";"nwengisa"
"estreito";"nwenga"
"estrela";"ntetembwa"
"estremecer";"tekitisa"
"estremecimento";"lutekitisu"
"estrondo";"mazu, nlombo"
"estrume";"kimvuka kya madya mabulu"
"estrutura";"mpila"
"estucar";"fukila ye"
"estudante";"nlongoki"
"estudar";"longoka"
"estudioso";"kwangangu"
"estudo";"longoka"
"estupidez";"zengi"
"estupido";"zowa"
"esvaziamento";"vevola"
"esvaziar";"vevoka"
"etapa";"ndandani"
"etcétera (etc.)";"konso konso"
"eternidade";"kya konda nsuka"
"eterno";"kya konda nsuka"
"ética";"fu kya mbote"
"eu ";"mono"
"europeu";"mundele"
"evacuar";"katula"
"evangelizar";"longa nsambu za mbote"
"evaporação";"lalumuka"
"evaporar";"lala"
"eventual";"fuka dya mambu"
"eventualidade";"mambu ma bwidi"
"evidência";"mambu ma bwidi"
"evidente";"mpila ya mambu"
"evitar";"yambula"
"evocar";"bokelesa"
"evoluçaõ";"nungunuka"
"exactamente";"ludi"
"exactidão";"ludi"
"exacto";"betela"
"exagerado";"lundika"
"exagerar";"lundika"
"exagero";"fumikisa"
"exaltar";"sanisina"
"exame";"lufimpu"
"examinador";"mfimpi"
"examinar";"mfimpa"
"exceder";"lundumuna"
"excelência";"ngenda, mfumu"
"excelente";"kya mbote"
"excepção";"solwa"
"excepto";"solwa"
"excesso";"yayingi"
"excitar";"sofitina"
"exclamação";"lomba"
"exclamar";"lomba"
"excluir";"katula"
"exclusão";"mpila ya katula"
"exclusivo";"kya solwa"
"execução";"mpila ya sadila"
"executar";"vanga"
"exemplar";"tezo kya mbandu"
"exemplo";"mbandu"
"exercer";"vanga"
"exercício";"nsalu"
"exercitar";"vanga salu"
"exército";"buka kya mabamba ngolo"
"exibição";"fu kya songa"
"exibir";"songa"
"exibir-se";"kudisonga"
"exigência";"lukwamisu"
"exigir";"kwamisa"
"existência";"kina vovo"
"existir";"kina "
"êxito";"kya nluta"
"exonerar";"katula"
"expandir";"mwanganasa"
"expansão";"mungunuka"
"expatriar";"yambulwa"
"expediente";"salu"
"experiência";"toma zaya"
"experimentar";"teza"
"expiar";"futa masunu"
"expiração";"lufulumunu"
"expirar";"vayi kisa"
"explicação";"sasila"
"explicador";"nsasidi"
"explicar";"sasila"
"explodir";"buka"
"exploração";"mpila ya bakila"
"explorador";"nbaki"
"explorar";"lufimpu, lulongoko"
"explosivo";"mbukila"
"expor";"songa"
"expor-se";"kudi songa"
"exportar";"tuma mu nsi ya nkaka"
"exposição";"sunzula"
"expressamente";"mpila ya songilu"
"expressão";"fu kya songilu"
"expressar";"mpovilu"
"expresso";"kya sonikwa"
"exprimir";"mpila ya songa"
"expulsão";"fu kya vayikisa mu ngolo"
"expulsar";"vayikisa mu ngolo"
"expulso";"vayikiswa"
"extensão";"mpila ya wunene"
"extenso";"kya nda"
"exterior";"kunganda"
"exterminar";"fwatikisa, vonda"
"externo";"kina kumbazi"
"extinção";"zima, Manisa"
"extinto";"kya zimwa"
"extintor";"ziminu"
"extorquir";"yiba"
"extração";"fu kya katula"
"extrair";"katula"
"extravagância";"fu kya nsawaswani"
"extravagante";"nswaswani"
"extraviar";"katula mu nzila"
"extravio";"fu kya tekomona"
"extrema";"swaswani"
"extremidade";"mwingilu"
"extremo";"mu mwingilu"
"fábrica ";"silu"
"fabricador  ";"mvangi"
"fabricante";"mvangi"
"fabricar";"vanga"
"fábula";"nsangu "
"fabulista";"mwangi nsangu"
"faca";"mbele"
"facada";"luwekwa mumbele"
"facão";"mbele ya nene"
"face";"mpolo"
"facear";"vanga mpolo"
"fachada";"wanduma ku mpolo"
"facho";"mwinda, ntemo"
"fácil";"ke kya bala ko"
"facilidade";"luvevoko"
"facilitar";"sadisa"
"facto";"dyambu "
"factor";"vanga konso dyambu"
"factura";"kimbangi,nkanda"
"faculdade";"masoniku ma nene"
"faculdade de pensar";"lendo kya yindula"
"facultar";"vana,luve"
"fadejar";"kwikila zitu"
"fagulha";"syemo, nzanzi"
"fagulhar";"syemo, nzanzi"
"faísca";"syemo, nzanzi"
"faísca eletrica";"syemo wa nkengezi"
"faixa";"nlele"
"fala";"mvova"
"falador";"mvovi"
"falange , falangeta";"nzila za nlembo"
"falar";"vova"
"falar á sos";"vova mu kinsweki"
"falar mal de...";"vova mbi um…"
"falar sem nexo";"vova kwa nkatu"
"falecer";"fwa"
"falecido";"mfwe, wafwa"
"falecimento";"fwa"
"falha";"vilakana"
"falhar";"lembwa"
"falir";"kuluka"
"falivel";"kya kuluka"
"falsa fé";"lukwikilu lwa vuna"
"falsidade";"mpila ya luvunu"
"falso";"vuna"
"falta";"konda"
"falta de chuvas";"konda mvula"
"falta de respeito";"konda luzitu"
"faltar";"konda"
"fantasiar";"vanga mu nsaka"
"fantasma";"ngingu za mbi"
"fantastico";"kya nsaka"
"farda";"nlele "
"fardamento";"nlele nya fwanana"
"fardar";"vwata"
"fardo";"kivuka kya yima"
"farejador";"sosi a nsunga"
"farejar";"sosa mu nsunga"
"farelo";"nseka"
"farinha";"sekwa"
"farinhento";"kya sekwa "
"farmacêutico";"nteki a nlongo"
"farmácia";"nzo ya tekila nlongo"
"farnel";"nkuta, madya"
"faro";"nsunga"
"farol";"ntemo"
"farrapo";"nlele mya tyazuka"
"farrusca";"mvindu"
"farsa";"luvunu"
"fartar";"tokana"
"fartar-se";"kudi tokanasa"
"farto";"tokana"
"fartura";"toloka"
"fascinar";"fu kya tuntwa"
"fase";"ndambu"
"fatal";"kya fwa"
"fatalidade";"kya fwa"
"fatia";"ndambu"
"fatigar";"yoyisa"
"fato";"mvwatu"
"favor";"sadisa"
"favoravel";"sadiswa"
"favorecer";"sadisa"
"faz tudo";"vanga ya kulu"
"fazendeiro";"nsadi a ntonga"
"fazer";"vanga"
"fazer a barba";"vanga nzevo"
"fazer as pazes";"vanga luvuvamu"
"fé";"lukwikilu"
"febre";"ngyanduka"
"fechado";"kya kangama"
"fechadura";"kumba"
"fechar";"binda, kanga"
"fecundar";"lwaka muntela, kola"
"fedor";"nsudi"
"feição";"mpolo"
"feijão";"madezo"
"feio";"ambi"
"feira";"yanzala"
"feitiçaria";"kindoki"
"feiticeiro";"ndoki"
"feitiço";"kindoki"
"feitio";"mpila mbote"
"feito";"kya vangwa"
"feitor";"nvangi"
"feixe";"kimvuka kya yima"
"felicidade";"kyese"
"felicitar";"yangidika, sanisina"
"feliz";"kyese"
"felizardo";"muntu wa kyese"
"felizmente";"ntuto wa mbote"
"fêmea";"kya nkento "
"feminino";"lukento"
"fenda";"kya songoka"
"fenomeno";"kimpa"
"fera";"bulu kya lulendo"
"féria";"lu vundu"
"feriado";"vundu"
"ferida";"mputa"
"ferido";"nkwa mputa"
"ferimento";"lwalu"
"ferir";"lweka"
"ferir-se";"kudi lweka"
"fermentação";"mvimbilu"
"fermentar";"vimba"
"fermento";"vimba"
"feroz";"lulendo lwa bulu"
"ferramenta";"sadilwa"
"ferrar";"tewa"
"ferreiro";"nsadi a nsengo"
"ferrinho";"nsengo kya fyoti"
"ferrugem";"fusa"
"fértil";"kya fwana wuta"
"ferver";"yila"
"fervido";"kya yidiswa"
"fervura";"ngila"
"festa";"nkinzi"
"festejar";"kembela"
"fevereiro";"ngonde ya zole"
"fezes";"tuvi"
"fiação";"kotisa"
"fiado";"sompa"
"fibra";"kima kya fyoti"
"ficar";"kala"
"ficar erecto";"kala singama"
"ficar rico";"kala mvwama"
"ficar zangado";"kala makasi"
"ficção";"yindula"
"ficticio";"mayindu"
"fidalgo";"vwama"
"fidelidade";"kwa nlemvo"
"fiel";"nkwikidi"
"fígado";"kati"
"figo";"bundu kya fiku"
"figueira";"nti wa fiku"
"figura";"teke"
"fila ou fileira";"nlonga"
"filamento";"mpila nlonga"
"filha";"mwana nkento"
"filhinho";"fyi mwana"
"filho";"mwana"
"filho adoptivo";"mwana nsasi"
"filho último";"mwana nsuka"
"filial";"mwana"
"filósofo";"nlongoki"
"filtrar";"kenza"
"filtro";"kenzilu"
"fim";"nsuka"
"finado";"lufwa"
"final";"a nsuka"
"finalidade";"kya nsuka"
"finalista";"kwa manisa"
"finalizar";"manisa"
"finalmente";"manisa"
"finanças";"nzimbu"
"financeiro";"mfunti a nzimbu"
"financiar";"vana nzimbu"
"findar";"manisa"
"fingido";"wungya ngya"
"fingidor";"nkwa wungya ngya"
"fingimento";"kudivumina"
"fingir";"vumina"
"fino";"kya nsongi"
"finura";"mpila wa wunsongi"
"fio";"nsinga"
"fio de cabelo";"nsiga nsuki"
"fio de metal";"lusinga"
"firma";"salu"
"firme";"syandama"
"firmeza";"syandama"
"firmimente";"kya ngolo"
"fiscalizar";"tengila"
"físico";"nitu"
"fisionomia";"mpila ya nitu"
"fita";"lutezo"
"fitar";"zinga"
"fivela";"kumba"
"fixar";"kala"
"fixar-se";"kala"
"fixo";"kilembe nikuka"
"flagelação";"fu kya mwesa mpasi"
"flagelo";"mpasi, tumbu"
"flauta";"bungu, tutu"
"flecha";"nzanza"
"flexivel";"kilendwa budikwa"
"flor";"mvuma"
"florescer";"vuma"
"floresta";"mfinda"
"florir";"tula mvuma"
"fluir";"kuna"
"flutuante";"kilembi dyuka, kilembi dimuka"
"flutuar";"tembana"
"fluxo";"ndonga wantu"
"foca";"bulu kya maza"
"focar";"tala"
"focinho";"nzumbu"
"fofo";"kya yoya"
"fogão";"ziku"
"fogareiro";"ziku"
"fogo";"ntiya, tiya"
"fogo de artificio";"ntiya twa nsakana"
"fogueira";"ziku"
"fôlego";"fulumuna, tevola"
"folga";"vunda"
"folgar";"fu kya vunda"
"folha";"makaya"
"folhada";"fuka dya makaya"
"folhinhas";"makaya ma fyote"
"foliar";"mandandani"
"fome";"nzala"
"fomentar";"kudikila"
"fomento";"kya kudikilwa"
"fonecer";"vana"
"fonte";"nkelo, nto"
"fora";"kumbazi, kala kunganda"
"fora ! (interj.)";"vayika!"
"fora de horas";"dingi-dingi"
"foragido";"ntini"
"forca";"kama"
"força";"nkuma, ngolo"
"forçado";"mu ngolo"
"forçar";"mu ngolo"
"forjar";"vuna"
"forma";"mpila"
"formação";"lulungoko"
"formado";"kyavangwa"
"formar";"vanga"
"formato";"mpila"
"formiga";"kimfyetete"
"formigueiro";"zunzu dya  yi mfyetete"
"formoso";"wambote mbote"
"formosura";"toma, ntomeswa"
"fórmula";"mpila"
"formular";"vana mpila"
"formulário";"lukaya lwa sonika"
"fornecedor";"nvani"
"fornicação";"fu kya zumba"
"fornicador";"mu nte zumba"
"fornicar";"zumba"
"forno";"fulu"
"forragem";"kya zingwa"
"forrar";"zinga, fukila"
"forro";"kima kya zingila"
"fortalecer";"syamisa"
"fortalecer-se";"kudisyamisa"
"fortaleza";"fulu kya fika"
"forte ";"ngolo"
"fortificar";"vana ngolo"
"fortuna";"kimvwama, mawete"
"fósforo";"fofolo"
"fossa";"wulu "
"fossas nasais";"mavundu ma zumu"
"fotografar";"bandula foto"
"fotografia ";"foto"
"fotógrafo";"bandudi a mafoto"
"foz";"mayiku"
"fracassar";"yoyisa"
"fraco";"yoya"
"fractura";"toloka"
"fracturar";"toloka"
"fragância";"kya yoya"
"frágil";"kya konda ngolo"
"fragilidade";"kya konda ngolo"
"fralda";"nlele wa nsedya"
"frango";"nsusu ya fwa"
"franqueza";"mu kyeleka"
"fraquejar";"yoyesa"
"fraqueza";"konda ngolo"
"frasco";"bungu, kimbambi"
"frase";"mvovo"
"fraternidade";"kimpangi"
"fraude";"vuna"
"freguesia";"kimvuka kya asumbi"
"freio";"kya ningama"
"freira";"mamela"
"frente";"kuntwala"
"frequência";"ntangwa kentangwa"
"frequentar";"ntangwa za wonso"
"frequente";"ntangwa za wonso"
"frequentemente";"ntangwa za wonso"
"fresco";"nzizi"
"frescura";"kya nzizi"
"frigideira";"kadingwa, kangwa"
"frigidez";"mpila kangila "
"frio";"kyozi"
"fritar";"kadinga,kanga"
"frito";"kya kadinga"
"fronha";"lele a nkafi"
"fronte";"mesu ya mesu"
"fronteira";"mwingilu"
"frota";"fuka"
"frustrar";"tokanasa, fwemisa"
"fruta";"bundu"
"fruto";"nluta, bundu"
"fuba";"sekwa"
"fuga";"watina , lemoka"
"fugir";"tina"
"fugir do lugar";"tina va fulu"
"fugitivo";"ntini"
"fulano";"ngadi"
"fulano de tal";"ngandi e zina dyani"
"fulminar";"vonda, lweka"
"fulo";"fwema"
"fumaça";"mwisi"
"fumar";"nwa fomo"
"fumegar ";"vayikisa mwisi"
"fumigar";"tula mwisi"
"fumo";"mwisi"
"função";"salu"
"funcionar";"vata,sala"
"funcionário";"nsadi"
"fundação";"sina, ngyatiku"
"fundador";"nyantiki"
"fundamental";"kya mfunu"
"fundamentar";"sasila"
"fundamento";"dya sasilwa"
"fundar";"yantika, sema"
"fundir";"zezisa"
"fundo";"konbokila, nkomboka"
"fúnebre";"mambu ma fwa"
"funeral";"luziku"
"funil";"lukenzo"
"furacão";"vundu"
"furado";"kya toboka"
"furador";"kya tobolola"
"furagem";"tobolola"
"furar";"tobola"
"fúria";"fwema,makasi"
"furioso";"nkwa makasi, nkwa fwema"
"furo";"vundu"
"furtar";"yiba"
"furto";"wivi"
"furúnculo";"zende"
"fusão";"zezisa"
"fusco";"wunga, futafuta"
"futebol";"somba"
"futuro";"ntangwa yikwiza, yilanda"
"fuzilar";"vonda mu nkele"
"fuzileiro";"mvondi"
"gabarola";"nkwa kisema"
"gabar-se";"kudi sema"
"gabinete";"nzo ya salu"
"gado";"twezi"
"gafanhoto";"dikoko"
"gagejar";"kukuma"
"gago";"nkwa kukuma"
"gaiola";"sakala"
"gala";"nkinzi"
"galão";"kafwa kwa kimvumina"
"galeria";"lundilu dya salanganu"
"galho";"lutayi lwa nti"
"galinha";"nsusu"
"galinheiro";"kalanga kya nsusu"
"galo";"kolombolo"
"ganância";"loko"
"gancho";"sengo kya kovama"
"ganhar";"nluta"
"ganho";"mfutu, nluta"
"garantia";"vuvu"
"garantir";"nsilu"
"garfo";"nsoma"
"gargalhada";"seva ngolo"
"gargalhar";"seva seva"
"garganta";"mvuvu"
"garoto";"kindende"
"garra";"ngolo"
"garrafa";"mbwata,nlangi"
"garrafão";"ngalu"
"gás";"lunga, mpeveleka"
"gasolina";"gazolina"
"gastador";"manisi"
"gastar";"manisa,lala"
"gastar-se";"kudimanisa, kudiladisa"
"gasto";"kya manisa"
"gatilho";"to kya nkele"
"gato";"nyawu, mbumba"
"gatuno";"mwivi"
"gaveta";"lundilu dya lamikwa"
"gavião";"lunganga"
"gazela";"nsyesye"
"gelado";"kya nzizi"
"geleira";"masinu makyozi"
"gelo";"tadi dya nzizi"
"gema";"kyenda kya dyaki"
"gémeo";"mavasa"
"gemer";"buma"
"gemido";"bumu"
"generalidade";"mwanganasa"
"generalizar";"lunganasa"
"generoso";"nsadisi"
"gengiva";"mfinginya"
"génio";"ngindu zambote"
"genro";"nzitu"
"gente";"ndonga, antu"
"gentil";"wa nzolwa"
"gentileza";"mpila ya mbote"
"gentio";"ndonga wantu"
"genuíno";"ngutukila"
"geração";"tandu"
"gerador";"masinu"
"geral";"kya nkangu"
"geralmente";"mudydyu"
"gerente";"ntwadise"
"gergelim";"wangila"
"gerir";"lunda, taluzula"
"germinar";"mena"
"gesso";"basa"
"gestação";"ntangwa"
"giba";"nkita"
"gigante";"a mpwena , a nene"
"ginástica";"kasumuna "
"girafa";"nvanda"
"girar";"dyeta, zyeta"
"giro (verbo)";"kya dyetwa"
"giro (sub)";"wa mbote mbote"
"giz";"mpemba"
"globo";"nsi"
"glória";"mantondo"
"glorificado";"sanisinwa"
"glorificar";"sanisina"
"glorioso";"vuntula matondo"
"goiaba";"ngavwa, mfuluta"
"goiabeira";"nti wa ngavwa"
"gole";"nkudi"
"golo";"wo"
"golpe";"lweka, nwanisa"
"golpeado";"lwekwa, nwanisa"
"golpeador";"nwanisi, nlweki"
"golpear";"nwanisa"
"goma";"ndungu wanda"
"gomo";"vasi"
"gordo";"wa nene , wa mpwena"
"gordura";"mazi, mafuta"
"gorjeta";"bimfutu, fimfutu"
"gostar";"tonda, zola"
"gosto ";"ntomo"
"gostoso";"kya tondwa"
"gota";"tosi"
"governador";"yadi , mfumu"
"governar";"yala"
"governo";"luyalu"
"gozar";"sakanina"
"gozo";"sakanina"
"graça";"nsambu"
"gradear";"kikila"
"graduar";"yadika"
"grámatica";"nkanda zayi"
"granada";"tenda, mbukila"
"grande";"a nene"
"grandeza";"kya nene"
"granel";"kuku"
"grão";"mbwaza"
"grão de milho";"mbwaza ya sangu"
"gratidão";"matondo"
"gratificação";"matondo"
"gratificar";"matondo"
"grátis";"kya ngovo"
"grato (adj)";"matondo"
"gratuitamente";"kya ngovo"
"gratuito";"kya ngovo"
"grau";"ngenda"
"graudo";"kya ngenda"
"gravação";"fu kya lunda"
"gravador";"lundilu"
"gravar";"lunda"
"gravata";"nsinga laka"
"grave ";"mu mpasi"
"grávida";"yimita"
"gravidade";"kya mpasi"
"gravidez";"wa yimita"
"graxa";"kikulula"
"grelha";"tamba"
"grelhador";"nfuti"
"grelhar";"futa"
"greve";"menga"
"grilo";"nzenze"
"gripe";"fukutila"
"gritar";"kaza,bokana"
"gritaria";"boka"
"grito";"boKa"
"grossaria";"vonga"
"grosseiro";"lumbakani"
"grosso";"nkandu"
"grossura";"kya nkandu"
"grudar";"lamika"
"grupo";"kimvuka"
"gruta";"nzo a tadi"
"guarda chuva";"kikilu kya mvula"
"guarda";"nkengidi,lundi"
"guardanapo";"nlele wa papalu"
"guardar";"lunda, sweka"
"guardar-se";"kudi lunda"
"guarnição";"nlangididi  "
"guerlas";"ndakala, fulumunu"
"guerra";"nzingu, vita"
"guerreador";"nwanisi"
"guerreiro";"nwani"
"guerrilheiro";"nwani"
"guia";"nkanda luve"
"guiador";"ntwadisi"
"guiar";"nata"
"guiar-se";"kudinata"
"guisado";"kya sangwa"
"guisar";"sanga"
"guitarra";"ngoyo"
"gula";"loko"
"guloso";"nkwa loko"
"há (verbo)";"kina"
"habilidade";"mpila ya lenda"
"habilitação";"kamba kya malongi"
"habiltar";"kubika"
"habitação";"zingila"
"habitante";"a zingi"
"habitar";"zingila"
"hábito";"fu"
"habituado";"wa yukwa"
"habitual";"yukwa , fu kya"
"habituar";"yukwa "
"harmonia";"wizana kya mbote"
"haver";"kina"
"hera";"nti"
"herança";"kimvwana"
"herdar";"sala ye kimvwana"
"herdeiro";"nsadi a kimvwana"
"hérnia";"nkukulu"
"herói";"nkwa wunkabu"
"hiena";"bulu"
"higiene";"wunkete"
"hino";"nkunga"
"hipócrita";"kudivinzikisa"
"hipopótamo";"nguvu"
"hipotecar";"wunsimbi"
"história";"nsangu"
"hoje";"wunu"
"homem";"muntu"
"homenagem";"luyindu"
"homens";"antu, bantu, wantu"
"homicídio";"fwasa, vonda"
"honestidade";"mu kyeleka"
"honesto";"kyeleka"
"honra";"kwa kyeleka, kwikila"
"honrado";"kwa kyeleka"
"honrar";"kwikila"
"hora";"ntangwa"
"horrivel";"wa mbi"
"horror";"wa mbi"
"horta";"masyamba"
"hortaliça";"kovi"
"hospedagem";"nzo ya leka"
"hospedar";"tambula zenza, leka"
"hóspede";"nzenza"
"hospital";"nzo ya mawuku"
"hotel";"nzo ya sompa"
"humanidade";"antu"
"humano";"muntu"
"humidade";"nzinzi, ntundulu"
"húmido";"nzinzi, ntundulu"
"humildade";"nlemvoka"
"humilde";"nlemvo, kwa wunsongi"
"humilhar";"kudi kulula, lemvoka"
"humor";"nsakana"
"idade";"ntela"
"ideal";"ngindu"
"idealizar";"vana ngindu"
"ideia";"ngindu, mabanza"
"idêntico";"fwanana, kya fwanana"
"identificar";"zaya, yuvula"
"idioma";"ndinga"
"idiota";"wa mbi"
"idolatrar";"nsambidi "
"ídolo";"mbandu"
"idoso";"mbuta muntu, veya"
"ignorado";"wa bembolwa"
"ignorância";"bembola"
"ignorante";"bembodi"
"ignorar";"bembola"
"igreja";"nzo ya sambu"
"igual";"fwanana"
"igualar";"fwananesa"
"igualdade";"fwanana"
"ilegal";"konda swa"
"ilha";"sanga"
"ilícito";"konda swa"
"iludir";"tonda luvumu"
"iluminação";"ntemo"
"iluminar";"ntemona"
"ilusão";"ngindu za luvumu"
"ilustração";"teke"
"ilustrado";"nzayilu "
"ilustre";"nkwa zayi"
"imagem";"teke"
"imaginação";"banza"
"imaginar";"banza"
"imaginavel";"kya banza"
"imaturo";"konda kola"
"imbecil";"zowa"
"imbondeiro";"nkondo"
"imediatamente";"munswalu nswalu"
"imediato";"nswalu"
"imenso";"nleva"
"imergir";"dyuka"
"imerso";"kya dyuka"
"imigração";"fu kya yaluka"
"imigrante";"nyaluki"
"imigrar";"yaluka"
"iminência";"mfumu, mbuta"
"imitação";"fu kya bakidila"
"imitador";"mbakididi"
"imitar";"bakidila"
"imoral";"konda kwa nguindu"
"imoralidade";"konda kwa nguindu"
"imortal";"lembifwa"
"imovel";"kilembi nikuka"
"impaciência";"suta"
"impaciente";"nkwa suta"
"impagavel";"konda futa"
"ímpar";"konda fwanana"
"impecavel";"kya konda sumu"
"impedimento";"nkaku, kakila"
"impedir";"sima, kakila"
"imperador";"mfumu"
"imperdoável";"lembiloloka"
"imperfeição";"lubatiku"
"imperfeito";"kya konda manisa"
"império";"ntimu, mfumu"
"impígem";"lotya"
"implicar";"nkakalakami, mvwanga"
"implorar";"lomba, wulemvo"
"impor";"kwamisa, mungolo"
"importado";"kya nzenza"
"importância";"mfunu"
"importante";"mfunu"
"importar";"tumisa"
"impossibilidade";"kondwa"
"impossibilitar";"kanga nzila"
"impossivel";"kedi lendakani ko"
"imposto";"mpaku"
"impostor";"mvodi a mpaku"
"impotência";"konda ngolo, yoya"
"impotente";"wa konda ngolo, wa yoya"
"impressão";"yindulula, banzikila"
"impressionar";"kudisonga"
"imprevisto";"dya kondwa yundula"
"imprimir";"katula"
"impróprio";"kya konda kyeleka"
"improvisar";"lembikila"
"improviso";"kya lembikilwa"
"imprudência";"konda kwa nkeba"
"imprudente";"konda kwa nkeba"
"impulsionar";"vayikisa mu ngolo"
"impulso";"vayikisa"
"impune";"konda kala vakimosi"
"impureza";"mvindu"
"impuro";"kya mvindu"
"imundo";"kya mvindu"
"inacréditavel";"kilenbi kwikilwa"
"inalteravel";"kilenbi sombwa "
"inanimado";"kilembi nikuka"
"inauguração";"luyantiku"
"inaugurar";"yantika"
"incapacidade";"wa konda lendo"
"incapaz";"ka fwana ko"
"incasavel";"lembi yoya"
"incendiar";"yoka, kwika"
"incêndio";"vya"
"incentivo";"sadisa, vana ngolo"
"incerteza";"konda kyeleka, konda vuvu"
"inchado";"kya vimba"
"inchar";"vimba"
"incitar";"kasumuna"
"inclinação";"ntekama, lutekamu"
"inclinado";"kya tekama"
"inclinar";"tekika"
"incluir";"dyukisa, katisa"
"incluir-se";"kudikotisa"
"incógnita";"konda kumu"
"incolor";"konda sye"
"incomodar";"tokanasa, bangika"
"incómodo";"lutokanesu, lubangiku"
"incompetência";"ngangu za fyoti"
"incompetente";"ka fwana ko"
"incompleto";"ka kya fwana ko"
"incompreensivél";"konda batisa"
"inconsciente";"konda nguindu"
"incorrigivel";"lembi longwa"
"incremento";"kudikila"
"incriminação";"kangila nkanu"
"incriminado";"nkadilu"
"incriminar";"kangila"
"incubar";"lunda"
"indeciso";"konda ludi"
"indemnização";"futa, nsadi"
"indemnizar";"futa "
"independência";"kimpwanza, luvuvamu"
"independente";"kala mu kipwanza"
"indicação";"songwa, tumbwa"
"indicador";"nsongi"
"indicar";"songa"
"indicativo";"fu kya songa"
"indício";"sisu, songa"
"indirecto";"konda singama"
"indispensavel";"dya mfunu mfunu"
"individual";"kya muntu mosi"
"individuo";"muntu"
"industria";"silu"
"induzir";"kasumuna"
"inesperado";"dilembi vingila"
"inesquecivel";"kilembwa vilakana"
"inevitavel";"lembi yambula"
"inexperiente";"konda ngangu"
"infância";"kimwana, kileke"
"infantil";"kimwana, kileke"
"infecção";"mputa, yela"
"infectar";"yandakana"
"infelicidade";"nkenda"
"infelizmente";"dya nkenda"
"inferior";"kya fyoti"
"inferno";"bilungi"
"infidelidade";"kondavuvu"
"infiltração";"fu kya kota"
"infiltrar";"kota"
"infinito";"kya konda manisa"
"inflamação";"kya vimba"
"inflamar";"vimba"
"influência";"zayakana, kasumuna"
"influenciar";"kasumuna"
"informação";"nsangu"
"informador";"mwangi a nsangu"
"informar";"mwanga"
"infracção";"nkanu"
"infractor";"nvangi a mbi"
"infringir";"lembi kwikila"
"ingénuo";"nkwa luzolu"
"ingerir";"mwa, mina"
